6.931141,0
8.03161,0
8.517401,1
9.039731,1
10.20933,0
10.70267,0
12.29973,1
12.88326,1
14.98281,0
17.21154,1
17.73033,0
18.22458,1
18.72688,0
19.24527,1
19.79248,1
20.33808,0
20.8757,0
21.38031,1
22.4579,0
23.53653,1
24.04119,1
24.5827,0
25.12777,0
25.68944,1
26.21798,1
26.77394,0
27.27567,0
27.83373,1
28.30771,0
28.88366,1
29.43642,0
29.97532,1
30.47727,1
31.02613,0
31.57951,0
32.11767,1
32.65417,0
33.18032,1
33.74335,0
34.27986,1
36.41662,1
36.94212,0
37.45852,1
37.97421,0
38.5221,1
39.0919,1
39.61393,0
40.17543,0
40.72593,1
42.74368,0
44.96282,1
46.06545,0
47.11555,1
47.64878,1
48.22922,0
48.75387,0
49.30288,1
49.80962,1
50.3188,0
50.87538,0
51.39856,1
53.47716,0
55.70716,1
56.19191,1
56.74211,0
57.29591,0
57.82309,1
58.37708,0
58.87974,1
59.39861,0
59.93884,1
60.47511,1
61.0155,0
61.55062,0
62.11606,1
62.66055,0
63.20586,1
63.74986,0
64.27311,1
64.80076,1
65.33569,0
65.85302,0
66.40951,1
66.95752,0
67.49453,1
68.02586,0
68.55843,1
70.69114,0
72.84304,1
74.88955,0
77.16338,1
77.65703,1
78.21507,0
78.75004,0
79.31066,1
